"업종별(1)",업종별(2),2018. 01,2018. 01,2018. 01,2018. 02,2018. 02,2018. 02,2018. 03,2018. 03,2018. 03,2018. 04,2018. 04,2018. 04,2018. 05,2018. 05,2018. 05,2018. 06,2018. 06,2018. 06,2018. 07,2018. 07,2018. 07,2018. 08,2018. 08,2018. 08,2018. 09,2018. 09,2018. 09,2018. 10,2018. 10,2018. 10,2018. 11,2018. 11,2018. 11,2018. 12,2018. 12,2018. 12,2019. 01,2019. 01,2019. 01,2019. 02,2019. 02,2019. 02,2019. 03,2019. 03,2019. 03,2019. 04,2019. 04,2019. 04,2019. 05,2019. 05,2019. 05,2019. 06,2019. 06,2019. 06,2019. 07,2019. 07,2019. 07,2019. 08,2019. 08,2019. 08,2019. 09,2019. 09,2019. 09,2019. 10,2019. 10,2019. 10,2019. 11,2019. 11,2019. 11,2019. 12,2019. 12,2019. 12,2020. 01,2020. 01,2020. 01,2020. 02,2020. 02,2020. 02,2020. 03,2020. 03,2020. 03,2020. 04,2020. 04,2020. 04,2020. 05,2020. 05,2020. 05,2020. 06,2020. 06,2020. 06,2020. 07,2020. 07,2020. 07,2020. 08,2020. 08,2020. 08,2020. 09,2020. 09,2020. 09,2020. 10,2020. 10,2020. 10,2020. 11,2020. 11,2020. 11,2020. 12,2020. 12,2020. 12,2021. 01,2021. 01,2021. 01,2021. 02,2021. 02,2021. 02,2021. 03,2021. 03,2021. 03
"업종별(1)",업종별(2),전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인
"서비스업", 숙박 및 음식점업,14168,152,14016,12254,106,12148,16893,167,16726,17767,129,17638,16477,165,16312,16636,142,16494,16090,156,15934,14803,177,14626,12193,96,12097,16412,157,16255,15642,142,15500,13453,126,13327,14256,135,14121,12689,108,12581,16145,129,16016,18015,150,17865,16927,129,16798,15721,127,15594,16514,199,16315,14257,151,14106,13547,151,13396,16642,152,16490,15743,157,15586,14660,166,14494,13606,118,13488,13805,124,13681,13175,129,13046,12539,135,12404,13376,107,13269,16091,168,15923,16162,199,15963,14115,125,13990,12916,148,12768,13439,124,13315,14776,132,14644,12548,135,12413,10701,115,10586,10796,89,10707,13409,147,13262
"서비스업", 정보통신업,2571,748,1823,1996,542,1454,2563,706,1857,2342,701,1641,2528,626,1902,2652,569,2083,2514,629,1885,2363,635,1728,1842,480,1362,2308,647,1661,2792,636,2156,2280,575,1705,2929,738,2191,2173,624,1549,2358,723,1635,2456,702,1754,2420,660,1760,2677,591,2086,3078,740,2338,2592,664,1928,2165,561,1604,2574,656,1918,2457,670,1787,2457,641,1816,2725,737,1988,2765,796,1969,2674,885,1789,2808,682,2126,2992,675,2317,3395,852,2543,3587,844,2743,3146,698,2448,3060,743,2317,2919,656,2263,3374,718,2656,3315,773,2542,3593,840,2753,3115,767,2348,4050,861,3189
"서비스업", 금융 및 보험업,592,292,300,489,263,226,626,368,258,631,350,281,589,332,257,633,310,323,632,329,303,613,337,276,504,294,210,585,296,289,624,384,240,564,342,222,572,286,286,472,231,241,578,339,239,649,367,282,703,393,310,640,370,270,789,419,370,680,420,260,570,316,254,742,427,315,700,451,249,644,378,266,564,286,278,745,390,355,723,386,337,554,264,290,540,304,236,747,389,358,808,420,388,668,373,295,759,481,278,606,376,230,748,430,318,783,424,359,724,366,358,919,399,520,935,535,400
"서비스업", 부동산업,34330,901,33429,25150,695,24455,54172,867,53305,25672,905,24767,25249,797,24452,23256,809,22447,25890,770,25120,24162,833,23329,39907,694,39213,30297,951,29346,26377,1034,25343,32499,972,31527,26440,1069,25371,18099,973,17126,19964,1170,18794,20914,1316,19598,21643,1268,20375,19371,1151,18220,24476,1369,23107,19621,1254,18367,19382,1045,18337,22141,1264,20877,23645,1374,22271,44101,1501,42600,134698,1812,132886,45514,2114,43400,24910,2257,22653,22053,1824,20229,32646,1945,30701,32989,2147,30842,33436,1352,32084,22631,1021,21610,20397,1065,19332,19009,939,18070,21415,1081,20334,28155,1252,26903,26758,1311,25447,26751,1172,25579,25240,1544,23696
"서비스업", 전문 과학 및 기술 서비스업,3848,942,2906,2860,748,2112,3408,901,2507,3339,904,2435,3222,794,2428,3186,758,2428,3613,927,2686,3292,861,2431,2719,625,2094,3585,898,2687,3748,876,2872,3635,854,2781,4380,1034,3346,3229,787,2442,3678,969,2709,3959,996,2963,3797,981,2816,3687,870,2817,4350,998,3352,3702,882,2820,3366,778,2588,4140,989,3151,3890,991,2899,4235,1142,3093,4619,1255,3364,4571,1449,3122,4373,1453,2920,4014,1175,2839,4114,1133,2981,4909,1333,3576,5273,1238,4035,4251,1015,3236,4337,1119,3218,4191,960,3231,4698,1056,3642,5061,1235,3826,5578,1269,4309,4796,1137,3659,5840,1371,4469
"서비스업", 사업시설 관리 사업 지원 및 임대 서비스업,3381,566,2815,2558,414,2144,3308,484,2824,3185,477,2708,3165,473,2692,3038,468,2570,3496,547,2949,3310,539,2771,2494,396,2098,3539,457,3082,3661,500,3161,3417,491,2926,4121,592,3529,3243,425,2818,3876,467,3409,4091,527,3564,3851,438,3413,3536,415,3121,4071,499,3572,3420,406,3014,3279,398,2881,3620,475,3145,3468,491,2977,3766,615,3151,4003,517,3486,3750,489,3261,4256,511,3745,4122,438,3684,4119,395,3724,4483,446,4037,4842,494,4348,3619,389,3230,3448,452,2996,3323,434,2889,3500,449,3051,3605,581,3024,3837,559,3278,3066,415,2651,3931,465,3466
"서비스업", 교육 서비스업,4057,137,3920,3592,109,3483,4313,151,4162,3057,125,2932,2912,110,2802,2925,98,2827,3243,117,3126,3631,112,3519,2453,75,2378,3692,129,3563,3773,129,3644,3478,129,3349,4447,130,4317,3881,101,3780,4473,139,4334,3602,133,3469,3359,118,3241,2974,116,2858,3459,123,3336,3156,122,3034,2873,118,2755,3251,149,3102,3491,135,3356,3898,144,3754,4120,117,4003,3941,167,3774,3410,125,3285,2656,133,2523,2552,95,2457,4595,135,4460,2965,144,2821,2802,124,2678,2868,157,2711,2661,101,2560,3083,126,2957,3403,154,3249,3629,130,3499,3652,131,3521,3937,130,3807
"서비스업", 보건업 및 사회복지 서비스업,615,11,604,512,9,503,629,8,621,576,10,566,541,9,532,542,6,536,539,10,529,507,12,495,380,7,373,439,5,434,430,8,422,474,7,467,563,4,559,482,4,478,520,5,515,525,11,514,499,8,491,373,4,369,409,12,397,398,14,384,345,8,337,448,13,435,391,14,377,574,26,548,577,7,570,465,7,458,426,3,423,382,7,375,359,7,352,404,7,397,443,8,435,358,8,350,359,5,354,318,8,310,367,3,364,481,6,475,448,10,438,378,5,373,497,6,491
"서비스업", 예술 스포츠 및 여가관련 서비스업,3009,85,2924,2368,63,2305,3083,67,3016,3000,112,2888,2854,99,2755,2782,64,2718,2836,82,2754,2636,91,2545,2131,52,2079,2647,109,2538,2755,108,2647,2656,89,2567,2950,106,2844,2280,83,2197,2819,96,2723,2766,102,2664,2743,98,2645,2459,79,2380,2750,121,2629,2283,92,2191,2147,78,2069,2548,89,2459,2678,98,2580,2716,106,2610,2614,110,2504,2373,105,2268,2121,105,2016,1907,73,1834,2062,88,1974,2916,104,2812,2655,85,2570,2136,78,2058,2484,101,2383,2166,80,2086,2266,82,2184,2204,77,2127,1924,70,1854,1901,77,1824,2136,91,2045
"서비스업", 협회 및 단체 수리 및 기타 개인 서비스업,4980,116,4864,4107,118,3989,5520,133,5387,5198,124,5074,4976,118,4858,4579,117,4462,4699,108,4591,4389,112,4277,3496,69,3427,4529,108,4421,4520,121,4399,4090,105,3985,5047,113,4934,4125,75,4050,5744,131,5613,5612,121,5491,5156,96,5060,4427,64,4363,4775,97,4678,4211,95,4116,3912,88,3824,4770,104,4666,4484,101,4383,4373,99,4274,4685,105,4580,4546,97,4449,4692,110,4582,4247,86,4161,4199,71,4128,5093,106,4987,4742,108,4634,4118,66,4052,4263,82,4181,4030,78,3952,4504,72,4432,4843,94,4749,4594,105,4489,4268,81,4187,5635,104,5531
