사업자 현황 ( 10월/100대 생활업종),,,,,,,
*조회년월,,2019년 10월,,,,,
,,,,,,,
,,,,,,,"(단위 : 인원수, %)"
업종전체,서울특별시,강남구," 45,304 "," 45,040 ",100.59%," 43,498 ",104.15%
업종전체,서울특별시,송파구," 30,486 "," 30,286 ",100.66%," 28,684 ",106.28%
업종전체,서울특별시,강동구," 18,288 "," 18,138 ",100.83%," 17,634 ",103.71%
업종전체,인천광역시,합계," 121,552 "," 120,745 ",100.67%," 114,933 ",105.76%
업종전체,인천광역시,중구," 7,584 "," 7,515 ",100.92%," 7,006 ",108.25%
업종전체,인천광역시,동구," 2,832 "," 2,824 ",100.28%," 2,743 ",103.24%
업종전체,인천광역시,연수구," 12,940 "," 12,806 ",101.05%," 11,918 ",108.58%
업종전체,인천광역시,남동구," 22,335 "," 22,176 ",100.72%," 21,315 ",104.79%
업종전체,인천광역시,부평구," 20,535 "," 20,457 ",100.38%," 19,603 ",104.75%
업종전체,인천광역시,계양구," 11,598 "," 11,528 ",100.61%," 11,237 ",103.21%
업종전체,인천광역시,서구," 21,107 "," 20,948 ",100.76%," 19,494 ",108.27%
업종전체,인천광역시,강화군," 3,984 "," 3,958 ",100.66%," 3,813 ",104.48%
업종전체,인천광역시,옹진군," 1,309 "," 1,301 ",100.61%," 1,240 ",105.56%
업종전체,인천광역시,미추홀구," 17,328 "," 17,232 ",100.56%," 16,564 ",104.61%
업종전체,경기도,합계," 551,603 "," 547,325 ",100.78%," 515,474 ",107.01%
업종전체,경기도,수원시 장안구," 10,535 "," 10,479 ",100.53%," 10,209 ",103.19%
업종전체,경기도,수원시 권선구," 13,196 "," 13,092 ",100.79%," 12,379 ",106.60%
업종전체,경기도,수원시 팔달구," 11,856 "," 11,818 ",100.32%," 11,699 ",101.34%
업종전체,경기도,수원시 영통구," 13,705 "," 13,578 ",100.94%," 12,616 ",108.63%
업종전체,경기도,성남시 수정구," 10,065 "," 9,970 ",100.95%," 9,453 ",106.47%
업종전체,경기도,성남시 중원구," 10,005 "," 9,976 ",100.29%," 9,618 ",104.02%
업종전체,경기도,성남시 분당구," 21,607 "," 21,489 ",100.55%," 20,634 ",104.72%
업종전체,경기도,의정부시," 19,848 "," 19,712 ",100.69%," 19,066 ",104.10%
업종전체,경기도,안양시 만안구," 10,144 "," 10,098 ",100.46%," 9,759 ",103.95%
업종전체,경기도,안양시 동안구," 14,323 "," 14,229 ",100.66%," 13,695 ",104.59%
업종전체,경기도,부천시," 36,167 "," 35,905 ",100.73%," 34,367 ",105.24%
업종전체,경기도,광명시," 11,752 "," 11,666 ",100.74%," 11,202 ",104.91%
업종전체,경기도,평택시," 23,618 "," 23,405 ",100.91%," 22,381 ",105.53%
업종전체,경기도,동두천시," 4,239 "," 4,223 ",100.38%," 4,163 ",101.83%
업종전체,경기도,안산시 상록구," 12,946 "," 12,898 ",100.37%," 12,277 ",105.45%
업종전체,경기도,안산시 단원구," 16,317 "," 16,245 ",100.44%," 15,414 ",105.86%
업종전체,경기도,고양시 덕양구," 17,210 "," 17,047 ",100.96%," 16,030 ",107.36%
업종전체,경기도,고양시 일산동구," 16,353 "," 16,247 ",100.65%," 15,469 ",105.71%
업종전체,경기도,고양시 일산서구," 11,850 "," 11,747 ",100.88%," 11,131 ",106.46%
업종전체,경기도,과천시," 2,329 "," 2,314 ",100.65%," 2,192 ",106.25%
업종전체,경기도,구리시," 9,223 "," 9,172 ",100.56%," 8,756 ",105.33%
업종전체,경기도,남양주시," 27,389 "," 27,107 ",101.04%," 24,878 ",110.09%
업종전체,경기도,오산시," 8,420 "," 8,348 ",100.86%," 7,964 ",105.73%
업종전체,경기도,시흥시," 19,923 "," 19,656 ",101.36%," 17,865 ",111.52%
업종전체,경기도,군포시," 9,678 "," 9,633 ",100.47%," 9,204 ",105.15%
업종전체,경기도,의왕시," 5,043 "," 5,011 ",100.64%," 4,759 ",105.97%
업종전체,경기도,하남시," 10,535 "," 10,343 ",101.86%," 8,672 ",121.48%
업종전체,경기도,용인시 처인구," 11,492 "," 11,412 ",100.70%," 10,497 ",109.48%
업종전체,경기도,용인시 기흥구," 15,048 "," 14,906 ",100.95%," 13,831 ",108.80%
업종전체,경기도,용인시 수지구," 11,109 "," 11,008 ",100.92%," 10,294 ",107.92%
업종전체,경기도,파주시," 18,693 "," 18,575 ",100.64%," 17,303 ",108.03%
업종전체,경기도,이천시," 9,526 "," 9,475 ",100.54%," 9,156 ",104.04%
업종전체,경기도,안성시," 8,254 "," 8,216 ",100.46%," 7,955 ",103.76%
업종전체,경기도,김포시," 18,260 "," 18,011 ",101.38%," 16,118 ",113.29%
업종전체,경기도,화성시," 30,815 "," 30,448 ",101.21%," 27,449 ",112.26%
업종전체,경기도,광주시," 14,610 "," 14,438 ",101.19%," 13,318 ",109.70%
업종전체,경기도,양주시," 9,100 "," 9,035 ",100.72%," 8,230 ",110.57%
업종전체,경기도,포천시," 8,320 "," 8,285 ",100.42%," 8,066 ",103.15%
업종전체,경기도,여주시," 5,268 "," 5,265 ",100.06%," 5,221 ",100.90%
업종전체,경기도,가평군," 4,727 "," 4,742 ",99.68%," 4,510 ",104.81%
업종전체,경기도,양평군," 5,940 "," 5,929 ",100.19%," 5,553 ",106.97%
업종전체,경기도,연천군," 2,165 "," 2,172 ",99.68%," 2,121 ",102.07%
업종전체,강원도,합계," 85,274 "," 84,913 ",100.43%," 82,609 ",103.23%
업종전체,강원도,춘천시," 14,150 "," 14,100 ",100.35%," 13,778 ",102.70%
업종전체,강원도,원주시," 17,898 "," 17,804 ",100.53%," 17,077 ",104.81%
업종전체,강원도,강릉시," 12,544 "," 12,413 ",101.06%," 12,010 ",104.45%
업종전체,강원도,동해시," 4,843 "," 4,829 ",100.29%," 4,754 ",101.87%
업종전체,강원도,태백시," 2,315 "," 2,305 ",100.43%," 2,273 ",101.85%
업종전체,강원도,속초시," 5,713 "," 5,693 ",100.35%," 5,576 ",102.46%
업종전체,강원도,삼척시," 3,514 "," 3,496 ",100.51%," 3,374 ",104.15%
업종전체,강원도,홍천군," 3,872 "," 3,867 ",100.13%," 3,804 ",101.79%
업종전체,강원도,횡성군," 2,250 "," 2,250 ",100.00%," 2,191 ",102.69%
업종전체,강원도,영월군," 2,092 "," 2,094 ",99.90%," 2,072 ",100.97%
업종전체,강원도,평창군," 2,894 "," 2,884 ",100.35%," 2,840 ",101.90%
업종전체,강원도,정선군," 2,365 "," 2,368 ",99.87%," 2,331 ",101.46%
업종전체,강원도,철원군," 2,364 "," 2,352 ",100.51%," 2,337 ",101.16%
업종전체,강원도,화천군," 1,321 "," 1,321 ",100.00%," 1,282 ",103.04%
업종전체,강원도,양구군," 1,221 "," 1,225 ",99.67%," 1,167 ",104.63%
업종전체,강원도,인제군," 2,123 "," 2,116 ",100.33%," 2,068 ",102.66%
업종전체,강원도,고성군," 1,666 "," 1,671 ",99.70%," 1,613 ",103.29%
업종전체,강원도,양양군," 2,129 "," 2,125 ",100.19%," 2,062 ",103.25%
업종전체,대전광역시,합계," 70,226 "," 69,892 ",100.48%," 67,839 ",103.52%
업종전체,대전광역시,중구," 12,347 "," 12,290 ",100.46%," 12,030 ",102.64%
업종전체,대전광역시,동구," 10,376 "," 10,323 ",100.51%," 10,058 ",103.16%
업종전체,대전광역시,서구," 23,341 "," 23,227 ",100.49%," 22,554 ",103.49%
업종전체,대전광역시,대덕구," 8,197 "," 8,168 ",100.36%," 8,102 ",101.17%
업종전체,대전광역시,유성구," 15,965 "," 15,884 ",100.51%," 15,095 ",105.76%
업종전체,충청북도,합계," 77,078 "," 76,725 ",100.46%," 74,254 ",103.80%
업종전체,충청북도,괴산군," 1,751 "," 1,748 ",100.17%," 1,715 ",102.10%
업종전체,충청북도,단양군," 1,796 "," 1,781 ",100.84%," 1,699 ",105.71%
업종전체,충청북도,보은군," 1,594 "," 1,600 ",99.63%," 1,596 ",99.87%
업종전체,충청북도,영동군," 2,221 "," 2,212 ",100.41%," 2,196 ",101.14%
업종전체,충청북도,옥천군," 2,161 "," 2,162 ",99.95%," 2,111 ",102.37%
업종전체,충청북도,음성군," 4,892 "," 4,873 ",100.39%," 4,704 ",104.00%
업종전체,충청북도,제천시," 7,497 "," 7,459 ",100.51%," 7,334 ",102.22%
업종전체,충청북도,증평군," 1,849 "," 1,842 ",100.38%," 1,753 ",105.48%
업종전체,충청북도,진천군," 3,736 "," 3,718 ",100.48%," 3,514 ",106.32%
업종전체,충청북도,청주시 상당구," 8,881 "," 8,860 ",100.24%," 8,565 ",103.69%
업종전체,충청북도,청주시 서원구," 9,085 "," 9,066 ",100.21%," 8,883 ",102.27%
업종전체,충청북도,청주시 청원구," 8,739 "," 8,689 ",100.58%," 8,278 ",105.57%
업종전체,충청북도,청주시 흥덕구," 12,204 "," 12,104 ",100.83%," 11,589 ",105.31%
업종전체,충청북도,충주시," 10,672 "," 10,611 ",100.57%," 10,317 ",103.44%
업종전체,충청남도,합계," 100,995 "," 100,488 ",100.50%," 97,448 ",103.64%
업종전체,충청남도,계룡시," 1,507 "," 1,498 ",100.60%," 1,470 ",102.52%
업종전체,충청남도,공주시," 5,433 "," 5,420 ",100.24%," 5,361 ",101.34%
업종전체,충청남도,금산군," 3,176 "," 3,161 ",100.47%," 3,122 ",101.73%
업종전체,충청남도,논산시," 5,910 "," 5,881 ",100.49%," 5,754 ",102.71%
업종전체,충청남도,당진시," 7,844 "," 7,803 ",100.53%," 7,557 ",103.80%
업종전체,충청남도,보령시," 5,635 "," 5,622 ",100.23%," 5,479 ",102.85%
업종전체,충청남도,부여군," 2,752 "," 2,740 ",100.44%," 2,690 ",102.30%
업종전체,충청남도,서산시," 8,415 "," 8,356 ",100.71%," 8,096 ",103.94%
업종전체,충청남도,서천군," 2,511 "," 2,504 ",100.28%," 2,440 ",102.91%
업종전체,충청남도,아산시," 13,127 "," 13,056 ",100.54%," 12,607 ",104.12%
업종전체,충청남도,예산군," 3,916 "," 3,896 ",100.51%," 3,868 ",101.24%
업종전체,충청남도,천안시 동남구," 12,570 "," 12,475 ",100.76%," 12,001 ",104.74%
업종전체,충청남도,천안시 서북구," 17,626 "," 17,539 ",100.50%," 16,625 ",106.02%
업종전체,충청남도,청양군," 1,306 "," 1,301 ",100.38%," 1,296 ",100.77%
업종전체,충청남도,태안군," 4,421 "," 4,416 ",100.11%," 4,376 ",101.03%
업종전체,충청남도,홍성군," 4,846 "," 4,820 ",100.54%," 4,706 ",102.97%
업종전체,세종특별자치시,합계," 12,461 "," 12,312 ",101.21%," 11,016 ",113.12%
업종전체,세종특별자치시,세종시," 12,461 "," 12,312 ",101.21%," 11,016 ",113.12%
업종전체,광주광역시,합계," 70,526 "," 70,184 ",100.49%," 67,718 ",104.15%
업종전체,광주광역시,동구," 8,397 "," 8,406 ",99.89%," 8,236 ",101.95%
업종전체,광주광역시,남구," 8,864 "," 8,808 ",100.64%," 8,382 ",105.75%
업종전체,광주광역시,서구," 16,470 "," 16,362 ",100.66%," 15,859 ",103.85%
업종전체,광주광역시,광산구," 17,485 "," 17,385 ",100.58%," 16,473 ",106.14%
업종전체,광주광역시,북구," 19,310 "," 19,223 ",100.45%," 18,768 ",102.89%
업종전체,전라북도,합계," 84,743 "," 84,358 ",100.46%," 82,457 ",102.77%
업종전체,전라북도,고창군," 2,270 "," 2,261 ",100.40%," 2,179 ",104.18%
업종전체,전라북도,군산시," 13,238 "," 13,182 ",100.42%," 13,003 ",101.81%
업종전체,전라북도,김제시," 3,209 "," 3,196 ",100.41%," 3,119 ",102.89%
업종전체,전라북도,남원시," 4,062 "," 4,063 ",99.98%," 4,031 ",100.77%
업종전체,전라북도,무주군," 1,334 "," 1,327 ",100.53%," 1,332 ",100.15%
업종전체,전라북도,부안군," 2,699 "," 2,690 ",100.33%," 2,640 ",102.23%
업종전체,전라북도,순창군," 1,034 "," 1,033 ",100.10%," 1,008 ",102.58%
업종전체,전라북도,완주군," 3,853 "," 3,814 ",101.02%," 3,641 ",105.82%
업종전체,전라북도,익산시," 12,637 "," 12,567 ",100.56%," 12,359 ",102.25%
업종전체,전라북도,임실군," 1,059 "," 1,062 ",99.72%," 1,034 ",102.42%
업종전체,전라북도,장수군, 828 , 826 ,100.24%, 833 ,99.40%
업종전체,전라북도,전주시 덕진구," 14,054 "," 13,980 ",100.53%," 13,318 ",105.53%
업종전체,전라북도,전주시 완산구," 18,704 "," 18,628 ",100.41%," 18,275 ",102.35%
업종전체,전라북도,정읍시," 4,779 "," 4,752 ",100.57%," 4,713 ",101.40%
업종전체,전라북도,진안군, 983 , 977 ,100.61%, 972 ,101.13%
업종전체,전라남도,합계," 85,297 "," 84,990 ",100.36%," 82,742 ",103.09%
업종전체,전라남도,강진군," 1,544 "," 1,541 ",100.19%," 1,491 ",103.55%
업종전체,전라남도,고흥군," 2,520 "," 2,520 ",100.00%," 2,487 ",101.33%
업종전체,전라남도,곡성군," 1,030 "," 1,024 ",100.59%," 1,004 ",102.59%
업종전체,전라남도,광양시," 6,816 "," 6,794 ",100.32%," 6,686 ",101.94%
업종전체,전라남도,구례군," 1,228 "," 1,220 ",100.66%," 1,200 ",102.33%
업종전체,전라남도,나주시," 4,673 "," 4,642 ",100.67%," 4,460 ",104.78%
업종전체,전라남도,담양군," 1,893 "," 1,885 ",100.42%," 1,795 ",105.46%
업종전체,전라남도,목포시," 12,498 "," 12,440 ",100.47%," 12,319 ",101.45%
업종전체,전라남도,무안군," 3,618 "," 3,618 ",100.00%," 3,470 ",104.27%
업종전체,전라남도,보성군," 1,865 "," 1,860 ",100.27%," 1,831 ",101.86%
업종전체,전라남도,순천시," 13,541 "," 13,493 ",100.36%," 13,037 ",103.87%
업종전체,전라남도,신안군," 1,225 "," 1,222 ",100.25%," 1,166 ",105.06%
업종전체,전라남도,여수시," 14,565 "," 14,506 ",100.41%," 14,185 ",102.68%
업종전체,전라남도,영광군," 2,401 "," 2,395 ",100.25%," 2,285 ",105.08%
업종전체,전라남도,영암군," 2,102 "," 2,109 ",99.67%," 2,064 ",101.84%
업종전체,전라남도,완도군," 2,575 "," 2,541 ",101.34%," 2,418 ",106.49%
업종전체,전라남도,장성군," 1,621 "," 1,599 ",101.38%," 1,553 ",104.38%
업종전체,전라남도,장흥군," 1,697 "," 1,693 ",100.24%," 1,662 ",102.11%
업종전체,전라남도,진도군," 1,410 "," 1,404 ",100.43%," 1,331 ",105.94%
업종전체,전라남도,함평군," 1,047 "," 1,044 ",100.29%," 1,010 ",103.66%
업종전체,전라남도,해남군," 3,011 "," 3,013 ",99.93%," 2,937 ",102.52%
업종전체,전라남도,화순군," 2,417 "," 2,427 ",99.59%," 2,351 ",102.81%
업종전체,대구광역시,합계," 114,676 "," 114,022 ",100.57%," 110,337 ",103.93%
업종전체,대구광역시,중구," 11,839 "," 11,778 ",100.52%," 11,712 ",101.08%
업종전체,대구광역시,동구," 15,090 "," 14,999 ",100.61%," 14,503 ",104.05%
업종전체,대구광역시,남구," 8,086 "," 8,075 ",100.14%," 7,840 ",103.14%
업종전체,대구광역시,서구," 8,347 "," 8,334 ",100.16%," 8,328 ",100.23%
업종전체,대구광역시,달서구," 23,690 "," 23,552 ",100.59%," 22,643 ",104.62%
업종전체,대구광역시,달성군," 9,473 "," 9,407 ",100.70%," 8,796 ",107.70%
업종전체,대구광역시,북구," 18,266 "," 18,092 ",100.96%," 17,449 ",104.68%
업종전체,대구광역시,수성구," 19,885 "," 19,785 ",100.51%," 19,066 ",104.30%
업종전체,경상북도,합계," 129,179 "," 128,602 ",100.45%," 125,758 ",102.72%
업종전체,경상북도,경산시," 12,042 "," 11,955 ",100.73%," 11,534 ",104.40%
업종전체,경상북도,경주시," 14,235 "," 14,174 ",100.43%," 13,725 ",103.72%
업종전체,경상북도,고령군," 1,330 "," 1,325 ",100.38%," 1,282 ",103.74%
업종전체,경상북도,구미시," 19,487 "," 19,366 ",100.62%," 19,088 ",102.09%
업종전체,경상북도,군위군, 881 , 881 ,100.00%, 834 ,105.64%
업종전체,경상북도,김천시," 6,146 "," 6,142 ",100.07%," 6,016 ",102.16%
업종전체,경상북도,문경시," 3,795 "," 3,794 ",100.03%," 3,734 ",101.63%
업종전체,경상북도,봉화군," 1,368 "," 1,358 ",100.74%," 1,377 ",99.35%
업종전체,경상북도,상주시," 4,347 "," 4,333 ",100.32%," 4,294 ",101.23%
업종전체,경상북도,성주군," 1,938 "," 1,939 ",99.95%," 1,890 ",102.54%
업종전체,경상북도,안동시," 8,045 "," 8,040 ",100.06%," 7,944 ",101.27%
업종전체,경상북도,영덕군," 2,515 "," 2,510 ",100.20%," 2,456 ",102.40%
업종전체,경상북도,영양군, 710 , 711 ,99.86%, 736 ,96.47%
업종전체,경상북도,영주시," 5,853 "," 5,839 ",100.24%," 5,778 ",101.30%
업종전체,경상북도,영천시," 4,379 "," 4,359 ",100.46%," 4,278 ",102.36%
업종전체,경상북도,예천군," 2,209 "," 2,211 ",99.91%," 2,092 ",105.59%
업종전체,경상북도,울릉군, 724 , 721 ,100.42%, 695 ,104.17%
업종전체,경상북도,울진군," 2,905 "," 2,879 ",100.90%," 2,822 ",102.94%
업종전체,경상북도,의성군," 2,018 "," 2,014 ",100.20%," 2,011 ",100.35%
업종전체,경상북도,청도군," 2,061 "," 2,046 ",100.73%," 1,927 ",106.95%
업종전체,경상북도,청송군," 1,427 "," 1,418 ",100.63%," 1,445 ",98.75%
업종전체,경상북도,칠곡군," 5,574 "," 5,554 ",100.36%," 5,480 ",101.72%
업종전체,경상북도,포항시 남구," 11,706 "," 11,641 ",100.56%," 11,312 ",103.48%
업종전체,경상북도,포항시 북구," 13,484 "," 13,392 ",100.69%," 13,008 ",103.66%
업종전체,부산광역시,합계," 157,267 "," 156,472 ",100.51%," 152,214 ",103.32%
업종전체,부산광역시,중구," 6,522 "," 6,520 ",100.03%," 6,569 ",99.28%
업종전체,부산광역시,강서구," 6,248 "," 6,146 ",101.66%," 5,584 ",111.89%
업종전체,부산광역시,동구," 5,851 "," 5,818 ",100.57%," 5,680 ",103.01%
업종전체,부산광역시,남구," 10,888 "," 10,857 ",100.29%," 10,490 ",103.79%
업종전체,부산광역시,서구," 4,381 "," 4,367 ",100.32%," 4,301 ",101.86%
업종전체,부산광역시,금정구," 10,982 "," 10,929 ",100.48%," 10,709 ",102.55%
업종전체,부산광역시,기장군," 7,311 "," 7,261 ",100.69%," 6,946 ",105.25%
업종전체,부산광역시,동래구," 12,447 "," 12,389 ",100.47%," 12,017 ",103.58%
업종전체,부산광역시,부산진구," 19,674 "," 19,561 ",100.58%," 19,129 ",102.85%
업종전체,부산광역시,북구," 9,654 "," 9,621 ",100.34%," 9,398 ",102.72%
업종전체,부산광역시,사상구," 10,001 "," 9,966 ",100.35%," 9,816 ",101.88%
업종전체,부산광역시,사하구," 11,879 "," 11,818 ",100.52%," 11,543 ",102.91%
업종전체,부산광역시,수영구," 9,688 "," 9,632 ",100.58%," 9,293 ",104.25%
업종전체,부산광역시,연제구," 10,220 "," 10,157 ",100.62%," 9,804 ",104.24%
업종전체,부산광역시,영도구," 4,067 "," 4,061 ",100.15%," 4,057 ",100.25%
업종전체,부산광역시,해운대구," 17,454 "," 17,369 ",100.49%," 16,878 ",103.41%
업종전체,울산광역시,합계," 51,419 "," 51,203 ",100.42%," 50,085 ",102.66%
업종전체,울산광역시,중구," 9,792 "," 9,769 ",100.24%," 9,706 ",100.89%
업종전체,울산광역시,동구," 6,350 "," 6,346 ",100.06%," 6,282 ",101.08%
업종전체,울산광역시,남구," 18,628 "," 18,531 ",100.52%," 18,251 ",102.07%
업종전체,울산광역시,북구," 7,402 "," 7,368 ",100.46%," 6,866 ",107.81%
업종전체,울산광역시,울주군," 9,247 "," 9,189 ",100.63%," 8,980 ",102.97%
업종전체,경상남도,합계," 157,090 "," 156,563 ",100.34%," 152,436 ",103.05%
업종전체,경상남도,고성군," 2,362 "," 2,350 ",100.51%," 2,342 ",100.85%
업종전체,경상남도,거제시," 11,522 "," 11,475 ",100.41%," 11,253 ",102.39%
업종전체,경상남도,거창군," 2,954 "," 2,954 ",100.00%," 2,876 ",102.71%
업종전체,경상남도,김해시," 24,112 "," 24,008 ",100.43%," 23,063 ",104.55%
업종전체,경상남도,남해군," 2,421 "," 2,423 ",99.92%," 2,317 ",104.49%
업종전체,경상남도,밀양시," 5,000 "," 4,951 ",100.99%," 4,864 ",102.80%
업종전체,경상남도,사천시," 5,929 "," 5,898 ",100.53%," 5,881 ",100.82%
업종전체,경상남도,산청군," 1,738 "," 1,749 ",99.37%," 1,697 ",102.42%
업종전체,경상남도,양산시," 14,982 "," 14,905 ",100.52%," 14,237 ",105.23%
업종전체,경상남도,의령군, 963 , 963 ,100.00%, 947 ,101.69%
업종전체,경상남도,진주시," 17,891 "," 17,852 ",100.22%," 17,509 ",102.18%
업종전체,경상남도,창녕군," 2,883 "," 2,879 ",100.14%," 2,797 ",103.07%
업종전체,경상남도,창원시 마산합포구," 9,452 "," 9,422 ",100.32%," 9,221 ",102.51%
업종전체,경상남도,창원시 마산회원구," 8,398 "," 8,377 ",100.25%," 8,353 ",100.54%
업종전체,경상남도,창원시 성산구," 10,274 "," 10,236 ",100.37%," 10,027 ",102.46%
업종전체,경상남도,창원시 의창구," 12,099 "," 12,039 ",100.50%," 11,598 ",104.32%
업종전체,경상남도,창원시 진해구," 8,063 "," 8,054 ",100.11%," 7,697 ",104.76%
업종전체,경상남도,통영시," 7,349 "," 7,329 ",100.27%," 7,240 ",101.51%
업종전체,경상남도,하동군," 2,355 "," 2,350 ",100.21%," 2,293 ",102.70%
업종전체,경상남도,함안군," 2,784 "," 2,790 ",99.78%," 2,720 ",102.35%
업종전체,경상남도,함양군," 1,820 "," 1,825 ",99.73%," 1,797 ",101.28%
업종전체,경상남도,합천군," 1,739 "," 1,734 ",100.29%," 1,707 ",101.87%
업종전체,제주특별자치도,합계," 43,971 "," 43,761 ",100.48%," 41,105 ",106.97%
업종전체,제주특별자치도,서귀포시," 12,122 "," 12,027 ",100.79%," 11,218 ",108.06%
업종전체,제주특별자치도,제주시," 31,849 "," 31,734 ",100.36%," 29,887 ",106.56%
가구점,합계,합계," 7,521 "," 7,503 ",100.24%," 7,479 ",100.56%
가구점,서울특별시,합계," 1,028 "," 1,023 ",100.49%," 1,015 ",101.28%
가구점,서울특별시,종로구, 15 , 15 ,100.00%, 14 ,107.14%
가구점,서울특별시,중구, 71 , 71 ,100.00%, 71 ,100.00%
가구점,서울특별시,용산구, 38 , 38 ,100.00%, 38 ,100.00%
가구점,서울특별시,성동구, 18 , 18 ,100.00%, 13 ,138.46%
가구점,서울특별시,광진구, 46 , 46 ,100.00%, 54 ,85.19%
가구점,서울특별시,동대문구, 32 , 32 ,100.00%, 32 ,100.00%
가구점,서울특별시,중랑구, 29 , 28 ,103.57%, 28 ,103.57%
가구점,서울특별시,성북구, 37 , 38 ,97.37%, 36 ,102.78%
가구점,서울특별시,강북구, 31 , 31 ,100.00%, 29 ,106.90%
가구점,서울특별시,도봉구, 23 , 23 ,100.00%, 21 ,109.52%
가구점,서울특별시,노원구, 45 , 45 ,100.00%, 44 ,102.27%
가구점,서울특별시,은평구, 42 , 42 ,100.00%, 39 ,107.69%
가구점,서울특별시,서대문구, 68 , 68 ,100.00%, 68 ,100.00%
가구점,서울특별시,마포구, 30 , 30 ,100.00%, 27 ,111.11%
가구점,서울특별시,양천구, 32 , 32 ,100.00%, 32 ,100.00%
가구점,서울특별시,강서구, 37 , 38 ,97.37%, 41 ,90.24%
가구점,서울특별시,구로구, 28 , 27 ,103.70%, 28 ,100.00%
가구점,서울특별시,금천구, 20 , 18 ,111.11%, 19 ,105.26%
가구점,서울특별시,영등포구, 31 , 30 ,103.33%, 30 ,103.33%
가구점,서울특별시,동작구, 21 , 20 ,105.00%, 19 ,110.53%
가구점,서울특별시,관악구, 34 , 33 ,103.03%, 34 ,100.00%
가구점,서울특별시,서초구, 100 , 100 ,100.00%, 100 ,100.00%
가구점,서울특별시,강남구, 98 , 98 ,100.00%, 98 ,100.00%
가구점,서울특별시,송파구, 73 , 73 ,100.00%, 73 ,100.00%
가구점,서울특별시,강동구, 29 , 29 ,100.00%, 27 ,107.41%
가구점,인천광역시,합계, 299 , 297 ,100.67%, 292 ,102.40%
가구점,인천광역시,중구, 13 , 13 ,100.00%, 15 ,86.67%
가구점,인천광역시,동구, 14 , 14 ,100.00%, 14 ,100.00%
가구점,인천광역시,연수구, 17 , 17 ,100.00%, 21 ,80.95%
가구점,인천광역시,남동구, 67 , 63 ,106.35%, 59 ,113.56%
가구점,인천광역시,부평구, 38 , 40 ,95.00%, 40 ,95.00%
가구점,인천광역시,계양구, 31 , 32 ,96.88%, 28 ,110.71%
가구점,인천광역시,서구, 62 , 62 ,100.00%, 59 ,105.08%
가구점,인천광역시,강화군, 6 , 6 ,100.00%, 6 ,100.00%
가구점,인천광역시,옹진군, * , * ,, * ,
가구점,인천광역시,미추홀구, 49 , 48 ,102.08%, 48 ,102.08%
가구점,경기도,합계," 1,908 "," 1,901 ",100.37%," 1,868 ",102.14%
가구점,경기도,수원시 장안구, 21 , 21 ,100.00%, 23 ,91.30%
가구점,경기도,수원시 권선구, 44 , 43 ,102.33%, 38 ,115.79%
