사업자 현황 (6월/100대 생활업종),,,,,,,,,,,,,,,,
*조회년월,,2019년 6월,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"(단위 : 인원수, %)",,,,,,,,,,,,,
구분,,, 사업자 수,,,,,,,,,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),,,,,,,,,
업종전체,전라북도,군산시,"13,068","13,064",100.03%,"12,907",101.25%,,,,,,,,,
업종전체,전라북도,김제시,"3,171","3,158",100.41%,"3,091",102.59%,,,,,,,,,
업종전체,전라북도,남원시,"4,060","4,048",100.30%,"3,990",101.75%,,,,,,,,,
업종전체,전라북도,무주군,"1,325","1,324",100.08%,"1,318",100.53%,,,,,,,,,
업종전체,전라북도,부안군,"2,666","2,666",100.00%,"2,613",102.03%,,,,,,,,,
업종전체,전라북도,순창군,"1,031","1,032",99.90%,995,103.62%,,,,,,,,,
업종전체,전라북도,완주군,"3,769","3,744",100.67%,"3,584",105.16%,,,,,,,,,
업종전체,전라북도,익산시,"12,506","12,476",100.24%,"12,247",102.11%,,,,,,,,,
업종전체,전라북도,임실군,"1,049","1,044",100.48%,"1,031",101.75%,,,,,,,,,
업종전체,전라북도,장수군,829,828,100.12%,831,99.76%,,,,,,,,,
업종전체,전라북도,전주시 덕진구,"13,828","13,766",100.45%,"13,171",104.99%,,,,,,,,,
업종전체,전라북도,전주시 완산구,"18,514","18,479",100.19%,"18,237",101.52%,,,,,,,,,
업종전체,전라북도,정읍시,"4,731","4,739",99.83%,"4,677",101.15%,,,,,,,,,
업종전체,전라북도,진안군,981,978,100.31%,955,102.72%,,,,,,,,,
업종전체,전라남도,합계,"84,264","84,041",100.27%,"81,854",102.94%,,,,,,,,,
업종전체,전라남도,강진군,"1,530","1,523",100.46%,"1,488",102.82%,,,,,,,,,
업종전체,전라남도,고흥군,"2,509","2,497",100.48%,"2,484",101.01%,,,,,,,,,
업종전체,전라남도,곡성군,"1,028","1,020",100.78%,981,104.79%,,,,,,,,,
업종전체,전라남도,광양시,"6,751","6,737",100.21%,"6,627",101.87%,,,,,,,,,
업종전체,전라남도,구례군,"1,207","1,202",100.42%,"1,180",102.29%,,,,,,,,,
업종전체,전라남도,나주시,"4,591","4,571",100.44%,"4,354",105.44%,,,,,,,,,
업종전체,전라남도,담양군,"1,851","1,838",100.71%,"1,784",103.76%,,,,,,,,,
업종전체,전라남도,목포시,"12,374","12,345",100.23%,"12,257",100.95%,,,,,,,,,
