사업자 현황 ( 5월/100대 생활업종),,,,,,,
*조회년월,,2020년 5월,,,,,
,,,,,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
커피음료점,부산광역시,중구,214 ,213 ,100.47%,203 ,105.42%
커피음료점,부산광역시,강서구,178 ,174 ,102.30%,129 ,137.98%
커피음료점,부산광역시,서구,126 ,124 ,101.61%,108 ,116.67%
커피음료점,부산광역시,동구,136 ,139 ,97.84%,123 ,110.57%
커피음료점,부산광역시,영도구,130 ,125 ,104.00%,108 ,120.37%
커피음료점,부산광역시,부산진구,565 ,558 ,101.25%,450 ,125.56%
커피음료점,부산광역시,동래구,274 ,267 ,102.62%,212 ,129.25%
커피음료점,부산광역시,남구,230 ,230 ,100.00%,198 ,116.16%
커피음료점,부산광역시,북구,204 ,199 ,102.51%,151 ,135.10%
커피음료점,부산광역시,해운대구,318 ,309 ,102.91%,264 ,120.45%
커피음료점,부산광역시,사하구,261 ,258 ,101.16%,209 ,124.88%
커피음료점,부산광역시,금정구,303 ,298 ,101.68%,251 ,120.72%
커피음료점,부산광역시,연제구,218 ,217 ,100.46%,164 ,132.93%
커피음료점,부산광역시,수영구,264 ,255 ,103.53%,211 ,125.12%
커피음료점,부산광역시,사상구,181 ,181 ,100.00%,149 ,121.48%
커피음료점,부산광역시,기장군,216 ,216 ,100.00%,184 ,117.39%
커피음료점,대구광역시,합계,"3,028 ","2,988 ",101.34%,"2,637 ",114.83%
커피음료점,대구광역시,중구,459 ,454 ,101.10%,407 ,112.78%
커피음료점,대구광역시,서구,148 ,147 ,100.68%,133 ,111.28%
커피음료점,대구광역시,동구,371 ,361 ,102.77%,331 ,112.08%
커피음료점,대구광역시,남구,245 ,240 ,102.08%,217 ,112.90%
커피음료점,대구광역시,북구,500 ,500 ,100.00%,438 ,114.16%
커피음료점,대구광역시,수성구,551 ,539 ,102.23%,467 ,117.99%
