사업자 현황 ( 12월/100대 생활업종),,,,,,,
*조회년월,,2020년 12월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
신경정신과 의원,서울특별시,관악구,19,19,100.00%,16,118.75%
신경정신과 의원,서울특별시,서초구,55,54,101.85%,51,107.84%
신경정신과 의원,서울특별시,강남구,108,107,100.93%,97,111.34%
신경정신과 의원,서울특별시,송파구,41,41,100.00%,39,105.13%
신경정신과 의원,서울특별시,강동구,31,31,100.00%,28,110.71%
신경정신과 의원,인천광역시,합계,75,75,100.00%,72,104.17%
신경정신과 의원,인천광역시,중구,3,3,100.00%,*,150.00%
신경정신과 의원,인천광역시,미추홀구,14,14,100.00%,13,107.69%
신경정신과 의원,인천광역시,연수구,12,12,100.00%,11,109.09%
신경정신과 의원,인천광역시,남동구,18,18,100.00%,18,100.00%
신경정신과 의원,인천광역시,부평구,12,12,100.00%,12,100.00%
신경정신과 의원,인천광역시,계양구,6,6,100.00%,6,100.00%
신경정신과 의원,인천광역시,서구,9,9,100.00%,9,100.00%
신경정신과 의원,인천광역시,강화군,*,*,100.00%,*,100.00%
신경정신과 의원,경기도,합계,388,385,100.78%,369,105.15%
신경정신과 의원,경기도,수원시 장안구,8,8,100.00%,8,100.00%
신경정신과 의원,경기도,수원시 권선구,5,5,100.00%,5,100.00%
신경정신과 의원,경기도,수원시 팔달구,22,22,100.00%,20,110.00%
신경정신과 의원,경기도,수원시 영통구,12,12,100.00%,12,100.00%
신경정신과 의원,경기도,성남시 수정구,9,9,100.00%,8,112.50%
신경정신과 의원,경기도,성남시 중원구,8,8,100.00%,6,133.33%
신경정신과 의원,경기도,성남시 분당구,41,40,102.50%,37,110.81%
신경정신과 의원,경기도,의정부시,17,17,100.00%,17,100.00%
신경정신과 의원,경기도,안양시 만안구,9,9,100.00%,7,128.57%
신경정신과 의원,경기도,안양시 동안구,14,14,100.00%,14,100.00%
신경정신과 의원,경기도,부천시,33,34,97.06%,33,100.00%
신경정신과 의원,경기도,광명시,9,9,100.00%,9,100.00%
신경정신과 의원,경기도,평택시,11,10,110.00%,11,100.00%
신경정신과 의원,경기도,동두천시,5,5,100.00%,5,100.00%
신경정신과 의원,경기도,안산시 상록구,4,4,100.00%,4,100.00%
신경정신과 의원,경기도,안산시 단원구,15,15,100.00%,14,107.14%
신경정신과 의원,경기도,고양시 덕양구,8,8,100.00%,9,88.89%
신경정신과 의원,경기도,고양시 일산동구,10,10,100.00%,9,111.11%
신경정신과 의원,경기도,고양시 일산서구,14,14,100.00%,14,100.00%
신경정신과 의원,경기도,과천시,3,3,100.00%,3,100.00%
신경정신과 의원,경기도,구리시,7,7,100.00%,6,116.67%
신경정신과 의원,경기도,남양주시,12,12,100.00%,11,109.09%
신경정신과 의원,경기도,오산시,6,6,100.00%,6,100.00%
신경정신과 의원,경기도,시흥시,11,11,100.00%,11,100.00%
신경정신과 의원,경기도,군포시,6,6,100.00%,6,100.00%
신경정신과 의원,경기도,하남시,9,9,100.00%,8,112.50%
신경정신과 의원,경기도,용인시 처인구,7,7,100.00%,6,116.67%
신경정신과 의원,경기도,용인시 기흥구,7,7,100.00%,7,100.00%
신경정신과 의원,경기도,용인시 수지구,13,12,108.33%,12,108.33%
신경정신과 의원,경기도,파주시,6,6,100.00%,6,100.00%
