사업자 현황 ( 1월/100대 생활업종),,,,,,,,
*조회년월,,2020년 1월,,,,,,
,,,,,,,,
,,,,,,,"(단위 : 인원수, %)",
구분,,, 사업자 수,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),
 업종전체,경기도,수원시 영통구," 13,910 "," 13,822 ",100.64%," 12,750 ",109.10%,
 업종전체,경기도,성남시 수정구," 10,181 "," 10,122 ",100.58%," 9,531 ",106.82%,
 업종전체,경기도,성남시 중원구," 10,027 "," 10,001 ",100.26%," 9,657 ",103.83%,
 업종전체,경기도,성남시 분당구," 21,795 "," 21,730 ",100.30%," 20,756 ",105.01%,
 업종전체,경기도,의정부시," 19,995 "," 19,899 ",100.48%," 19,106 ",104.65%,
 업종전체,경기도,안양시 만안구," 10,199 "," 10,154 ",100.44%," 9,813 ",103.93%,
 업종전체,경기도,안양시 동안구," 14,461 "," 14,386 ",100.52%," 13,792 ",104.85%,
 업종전체,경기도,부천시," 36,309 "," 36,199 ",100.30%," 34,515 ",105.20%,
 업종전체,경기도,광명시," 11,780 "," 11,722 ",100.49%," 11,290 ",104.34%,
 업종전체,경기도,평택시," 23,863 "," 23,726 ",100.58%," 22,570 ",105.73%,
 업종전체,경기도,동두천시," 4,280 "," 4,258 ",100.52%," 4,140 ",103.38%,
 업종전체,경기도,안산시 상록구," 13,029 "," 12,990 ",100.30%," 12,398 ",105.09%,
 업종전체,경기도,안산시 단원구," 16,475 "," 16,368 ",100.65%," 15,541 ",106.01%,
 업종전체,경기도,고양시 덕양구," 17,465 "," 17,367 ",100.56%," 16,144 ",108.18%,
 업종전체,경기도,고양시 일산동구," 16,483 "," 16,390 ",100.57%," 15,629 ",105.46%,
 업종전체,경기도,고양시 일산서구," 12,006 "," 11,949 ",100.48%," 11,146 ",107.72%,
 업종전체,경기도,과천시," 2,364 "," 2,350 ",100.60%," 2,242 ",105.44%,
 업종전체,경기도,구리시," 9,308 "," 9,303 ",100.05%," 8,833 ",105.38%,
 업종전체,경기도,남양주시," 27,948 "," 27,726 ",100.80%," 25,297 ",110.48%,
 업종전체,경기도,오산시," 8,495 "," 8,447 ",100.57%," 8,018 ",105.95%,
 업종전체,경기도,시흥시," 20,367 "," 20,158 ",101.04%," 18,230 ",111.72%,
 업종전체,경기도,군포시," 9,760 "," 9,696 ",100.66%," 9,284 ",105.13%,
 업종전체,경기도,의왕시," 5,155 "," 5,118 ",100.72%," 4,796 ",107.49%,
 업종전체,경기도,하남시," 11,010 "," 10,838 ",101.59%," 9,193 ",119.77%,
 업종전체,경기도,용인시 처인구," 11,720 "," 11,627 ",100.80%," 10,659 ",109.95%,
 업종전체,경기도,용인시 기흥구," 15,482 "," 15,287 ",101.28%," 14,064 ",110.08%,
 업종전체,경기도,용인시 수지구," 11,351 "," 11,256 ",100.84%," 10,364 ",109.52%,
 업종전체,경기도,파주시," 19,018 "," 18,891 ",100.67%," 17,569 ",108.25%,
 업종전체,경기도,이천시," 9,634 "," 9,571 ",100.66%," 9,196 ",104.76%,
 업종전체,경기도,안성시," 8,289 "," 8,248 ",100.50%," 7,982 ",103.85%,
 업종전체,경기도,김포시," 18,754 "," 18,553 ",101.08%," 16,703 ",112.28%,
