year,month,city,corp,0
2019,1,경상남도,철물점,545
2019,1,경상남도,치과병원ㆍ의원,904
2019,1,경상남도,침구ㆍ커튼가게,702
2019,1,경상남도,커피음료점,3402
2019,1,경상남도,컴퓨터판매점,314
2019,1,경상남도,통신판매업,8143
2019,1,경상남도,패스트푸드점,3102
2019,1,경상남도,펜션ㆍ게스트하우스,1153
2019,1,경상남도,편의점,2804
2019,1,경상남도,피부ㆍ비뇨기과 의원,165
2019,1,경상남도,피부관리업,2399
2019,1,경상남도,피시방,678
2019,1,경상남도,한방병원ㆍ한의원,807
2019,1,경상남도,한식전문점,31752
2019,1,경상남도,헬스클럽,386
2019,1,경상남도,호프전문점,1539
2019,1,경상남도,화장품가게,2434
2019,1,경상남도,휴대폰가게,1292
2019,1,경상북도,B. 업종전체,125481
2019,1,경상북도,가구점,461
2019,1,경상북도,가스충전소,163
2019,1,경상북도,가전제품수리점,489
2019,1,경상북도,가전제품판매점,693
2019,1,경상북도,간이주점,409
2019,1,경상북도,간판광고물업,641
2019,1,경상북도,감정평가사,19
2019,1,경상북도,건강보조식품가게,886
2019,1,경상북도,건어물가게,658
2019,1,경상북도,건축사,462
2019,1,경상북도,결혼상담소,60
2019,1,경상북도,곡물가게,367
2019,1,경상북도,공부방,1581
2019,1,경상북도,공인노무사,15
2019,1,경상북도,공인회계사,28
2019,1,경상북도,과일가게,1343
2019,1,경상북도,교습학원,2643
2019,1,경상북도,구내식당,1397
2019,1,경상북도,기술및직업훈련학원,505
2019,1,경상북도,기술사,38
2019,1,경상북도,기타 일반의원,106
2019,1,경상북도,기타외국식전문점,699
2019,1,경상북도,기타음식점,1158
2019,1,경상북도,꽃가게,1188
2019,1,경상북도,내과ㆍ소아과 의원,532
2019,1,경상북도,노래방,1644
2019,1,경상북도,담배가게,1419
2019,1,경상북도,당구장,939
2019,1,경상북도,독서실,222
2019,1,경상북도,동물병원,262
2019,1,경상북도,목욕탕,419
2019,1,경상북도,문구점,539
2019,1,경상북도,미용실,5685
2019,1,경상북도,법무사,258
2019,1,경상북도,변리사,3
2019,1,경상북도,변호사,116
2019,1,경상북도,부동산중개업,4192
2019,1,경상북도,분식점,2454
2019,1,경상북도,사진촬영업,500
2019,1,경상북도,산부인과 의원,68
2019,1,경상북도,생선가게,841
2019,1,경상북도,서점,374
2019,1,경상북도,성형외과 의원,15
2019,1,경상북도,세무사,229
2019,1,경상북도,세탁소,1217
2019,1,경상북도,슈퍼마켓,1872
2019,1,경상북도,스포츠교육기관,1063
2019,1,경상북도,스포츠시설운영업,235
2019,1,경상북도,스포츠용품점,1236
2019,1,경상북도,시계ㆍ귀금속점,439
2019,1,경상북도,식료품가게,3597
2019,1,경상북도,신경정신과 의원,49
2019,1,경상북도,신발가게,384
2019,1,경상북도,실내스크린골프점,267
